onset	duration	stim	cond	resp	acc	RT
232.631	0.729	GOWN	lure	n/a	1	n/a
233.364	0.598	CATERER	lure	n/a	1	n/a
233.981	0.555	DOWNFALL	lure	n/a	1	n/a
234.547	0.52	SUBSYSTEM	lure	n/a	1	n/a
235.081	0.308	FOREFRONT	lure	n/a	1	n/a
235.481	0.336	UNDERTONE	lure	n/a	1	n/a
235.831	0.359	BULL	lure	n/a	1	n/a
236.197	0.553	CAROL	lure	n/a	1	n/a
236.764	0.652	DISSUASION	lure	n/a	1	n/a
237.431	0.478	STEELMAKER	lure	n/a	1	n/a
237.914	0.327	SLOWPOKE	lure	n/a	1	n/a
238.247	0.713	SPA	lure	n/a	1	n/a
238.964	0.7	WAGTAIL	lure	n/a	1	n/a
239.681	0.383	HILT	lure	n/a	1	n/a
249.947	0.698	TREASURY	lure	n/a	1	n/a
250.664	0.497	CRUELTY	lure	n/a	1	n/a
251.18	0.384	FOREBODING	lure	n/a	1	n/a
251.58	0.337	FLAPJACK	lure	n/a	1	n/a
251.93	0.45	LATRINE	lure	n/a	1	n/a
252.397	0.328	VANE	lure	n/a	1	n/a
252.73	0.502	HEADLAND	lure	n/a	1	n/a
253.247	0.737	DOOR	lure	n/a	1	n/a
253.997	0.501	TURPENTINE	lure	n/a	1	n/a
254.514	0.604	COAST	short	detect	0	413
255.13	0.462	FOREGROUND	lure	n/a	1	n/a
255.68	0.713	FLAMINGO	lure	n/a	1	n/a
256.397	0.706	TABLESPOON	lure	n/a	1	n/a
257.116	0.303	NEWSCASTER	lure	n/a	1	n/a
257.432	0.526	CREATURE	lure	n/a	1	n/a
257.964	0.315	FIANCE	lure	n/a	1	n/a
258.297	0.441	TURMOIL	lure	n/a	1	n/a
258.747	0.327	ROSTER	lure	n/a	1	n/a
259.08	0.39	WILDFIRE	lure	n/a	1	n/a
259.48	0.466	ADOBE	lure	n/a	1	n/a
259.964	0.573	GUARDIAN	lure	n/a	1	n/a
260.547	0.322	THERAPY	lure	n/a	1	n/a
260.88	0.674	DEBASEMENT	lure	n/a	1	n/a
261.566	0.534	ANNEX	lure	n/a	1	n/a
262.114	0.583	TUMBLER	lure	n/a	1	n/a
262.714	0.573	IMPULSE	lure	n/a	1	n/a
263.297	0.696	SANDPIPER	lure	n/a	1	n/a
263.997	0.502	HOORAY	lure	n/a	1	n/a
264.514	2.003	SPONGE	long	n/a	1	n/a
266.53	0.588	DEVIATION	lure	n/a	1	n/a
267.131	0.518	ENAMEL	lure	n/a	1	n/a
267.73	0.541	MATADOR	lure	n/a	1	n/a
268.28	0.547	SILICA	lure	n/a	1	n/a
268.83	0.493	SHOPKEEPER	lure	n/a	1	n/a
269.33	0.368	SARCASM	lure	n/a	1	n/a
269.714	0.511	CLIPBOARD	lure	n/a	1	n/a
